"BRAND,""ID"",""NAME"",""PRODUCTSTATE"",""SELLER"",""STARTPRICE"",""YEAR"""
"oSayBee,1,""Vintage Orange Bag"",""LISTED"","""",5000,""2022"""
"BRAND,""ID"",""NAME"",""PRODUCTSTATE"",""SELLER"",""STARTPRICE"",""YEAR"""
"oSayBee,1,""Vintage Blue Bag"",""LISTED"","""",4000,""2022"""
"BRAND,""ID"",""NAME"",""PRODUCTSTATE"",""SELLER"",""STARTPRICE"",""YEAR"""
"oSayBee,2,""Vintage Black Bag"",""LISTED"","""",3950,""2022"""
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","3","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","4","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","5","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","6","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","7","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","8","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","9","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","10","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","11","Vintage Black Bag","LISTED","","3950","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","12","Vintage Blue Bag","LISTED","","4000","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"oSayBee","13","Vintage Orange Bag","LISTED","","5000","2022"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"Mayor","14","Protein 5l","LISTED","","2000","2023"
"BRAND","ID","NAME","PRODUCTSTATE","SELLER","STARTPRICE","YEAR"
"Mayor","15","Protein Strawberry Shake 2l","LISTED","","2500","2023"
